LSOA_code,all,G1,G2,G3,G4
E01000641,1360,345,318,453,244
E01000642,1789,585,412,587,205
E01000643,1588,424,376,435,353
E01000644,1459,504,334,423,198
E01000645,1104,690,288,81,45
E01000646,1405,736,343,247,79
E01000647,1222,629,326,210,57
E01000648,1399,756,352,205,86
E01000649,1525,917,339,179,90
E01000650,1371,783,345,142,101
E01000651,1325,666,356,230,73
E01000652,1330,709,345,211,65
E01000653,1192,670,306,139,77
E01000654,964,376,318,231,39
E01000655,1001,383,310,242,66
E01000656,1185,489,360,280,56
E01000657,1226,432,396,326,72
E01000658,1119,426,370,267,56
E01000659,1090,429,364,256,41
E01000661,1965,707,459,561,238
E01000662,1316,532,379,296,109
E01000663,1224,488,304,315,117
E01000664,1212,518,345,254,95
E01000665,1417,593,415,299,110
E01000666,1539,782,461,211,85
E01000667,1307,635,435,159,78
E01000668,1690,845,405,321,119
E01000669,1294,671,346,223,54
E01000670,1517,856,375,187,99
E01000671,1738,901,422,291,124
E01000672,1274,667,330,198,79
E01000673,1196,691,295,156,54
E01000674,1285,622,325,234,104
E01000676,1507,705,354,313,135
E01000677,1409,779,348,204,78
E01000678,1360,743,355,189,73
E01000679,1290,618,367,239,66
E01000680,1319,662,400,195,62
E01000681,1299,654,393,199,53
E01000682,1224,602,312,230,80
E01000683,1278,583,314,272,109
E01000684,1521,874,351,230,66
E01000685,1198,537,323,259,79
E01000686,1143,546,331,196,70
E01000687,1244,609,353,219,63
E01000688,1054,595,259,144,56
E01000689,1143,473,315,235,120
E01000690,1049,558,282,148,61
E01000691,1170,530,301,260,79
E01000692,1262,641,348,203,70
E01000693,1229,594,346,200,89
E01000694,1719,1014,401,204,100
E01000695,1159,641,314,145,59
E01000696,1294,731,343,142,78
E01000697,1378,886,269,152,71
E01000698,918,491,274,107,46
E01000699,1105,528,246,245,86
E01000700,1146,564,272,233,77
E01000701,1065,605,257,150,53
E01000702,1122,628,256,188,50
E01000703,1234,741,254,179,60
E01000704,1110,529,281,219,81
E01000705,1043,478,237,227,101
E01000706,1050,486,256,232,76
E01000707,1035,676,223,101,35
E01000708,1255,662,303,229,61
E01000709,1141,606,284,180,71
E01000710,1921,1165,416,260,80
E01000711,1575,867,376,244,88
E01000712,1479,819,383,196,81
E01000713,1481,910,337,173,61
E01000714,1710,932,375,296,107
E01000715,1463,791,370,213,89
E01000716,1324,779,307,160,78
E01000717,1372,749,348,212,63
E01000718,1507,657,345,366,139
E01000719,1488,508,369,468,143
E01000720,1236,386,321,375,154
E01000721,1099,355,242,347,155
E01000722,1402,511,352,390,149
E01000723,1027,371,299,297,60
E01000724,1134,291,322,385,136
E01000725,1335,458,323,406,148
E01000726,1058,412,300,263,83
E01000727,1316,570,357,313,76
E01000728,1272,404,359,385,124
E01000729,1350,387,324,467,172
E01000730,1229,325,319,427,158
E01000731,993,317,269,323,84
E01000732,1157,486,339,244,88
E01000733,1243,495,329,320,99
E01000734,995,422,275,229,69
E01000735,1089,342,294,325,128
E01000736,1197,371,361,344,121
E01000737,1037,364,283,262,128
E01000738,1297,444,367,365,121
E01000739,1167,295,260,436,176
E01000741,1479,783,290,283,123
E01000742,1644,831,327,356,130
E01000743,1450,528,334,393,195
E01000744,1157,337,237,395,188
E01000745,1447,805,281,252,109
E01000746,1576,898,300,279,99
E01000747,1525,635,485,290,115
E01000748,1417,556,498,274,89
E01000749,1318,580,402,257,79
E01000750,1114,360,256,367,131
E01000751,1661,853,427,270,111
E01000752,1376,599,378,291,108
E01000753,1467,744,448,215,60
E01000754,1322,665,359,240,58
E01000755,1228,646,338,189,55
E01000756,1295,647,385,165,98
E01000757,1214,663,343,163,45
E01000758,1087,608,268,165,46
E01000759,1243,589,386,202,66
E01000760,1253,524,373,276,80
E01000761,1172,527,365,214,66
E01000762,1331,717,332,213,69
E01000763,1090,530,337,180,43
E01000764,1348,571,347,322,108
E01000765,1334,619,406,231,78
E01000766,1325,680,386,210,49
E01000767,1226,614,358,188,66
E01000768,1149,565,339,191,54
E01000769,1065,485,280,164,136
E01000770,1213,714,290,139,70
E01000771,1238,665,341,178,54
E01000772,1300,709,342,170,79
E01000773,1162,586,337,206,33
E01000774,1110,517,310,218,65
E01000775,1700,912,454,227,107
E01000777,1189,577,338,218,56
E01000778,1223,496,355,283,89
E01000779,1103,511,321,188,83
E01000780,1186,425,328,313,120
E01000781,1097,299,296,374,128
E01000782,1106,280,262,418,146
E01000783,1135,342,309,370,114
E01000784,1137,536,309,226,66
E01000785,1118,334,327,348,109
E01000786,1202,579,355,198,70
E01000787,1176,391,303,348,134
E01000788,1211,486,337,294,94
E01000789,1176,260,287,447,182
E01000790,1853,946,451,331,125
E01000791,1205,472,330,318,85
E01000792,1096,470,278,276,72
E01000793,1229,644,341,191,53
E01000794,1222,599,343,203,77
E01000795,1022,452,262,213,95
E01000796,1064,305,249,364,146
E01000797,1248,709,303,163,73
E01000798,1158,383,250,364,161
E01000799,1344,616,323,290,115
E01000800,1281,550,292,310,129
E01000801,1156,491,303,264,98
E01000802,1442,802,282,267,91
E01000803,1272,693,290,186,103
E01000804,1091,635,258,142,56
E01000805,1297,665,275,258,99
E01000806,1210,474,264,345,127
E01000807,1212,636,320,196,60
E01000808,1193,658,289,172,74
E01000809,1193,625,325,181,62
E01000810,1169,691,295,138,45
E01000811,1030,545,255,191,39
E01000812,1262,671,276,222,93
E01000813,1192,592,328,210,62
E01000814,1194,710,314,127,43
E01000815,1155,691,327,98,39
E01000816,1179,530,324,235,90
E01000818,1313,615,360,268,70
E01000819,1365,524,364,342,135
E01000820,1220,605,320,184,111
E01000822,1188,580,292,223,93
E01000823,1295,694,335,181,85
E01000824,1056,532,247,209,68
E01000825,1284,620,314,246,104
E01000826,1213,718,318,121,56
E01000827,1359,716,354,214,75
E01000828,1307,697,317,211,82
E01000829,1328,734,318,211,65
E01000830,1179,694,322,104,59
